name,description,link
3DFY,Revolutionize 3D model creation with AI: Text descriptions to detailed assets.,https://3dfy.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Alpha3D,Alpha3D is a revolutionary generative AI-powered platform that transforms 2D images into high-quality 3D assets at scale.,https://www.alpha3d.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Sloyd,"Revolutionize 3D model creation with AI, no experience needed.",https://www.sloyd.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
CSM,"Transform photos, text, sketches into immersive 3D worlds with AI.",https://csm.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Finch 3D,"Optimize building design with AI and graph technology. Get immediate feedback on performance, detect errors and find optimal solutions in the early stages of design.",https://www.finch3d.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Swapp,Revolutionize architectural documentation with AI-powered automation and bespoke integration.,https://www.swapp.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Rokoko Video,Transform video to 3D animations easily with AI-driven mocap technology.,https://www.rokoko.com/products/video?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Blockode AI Photo Studio,Generate immersive 360° worlds from text or sketches with advanced customization.,https://www.blockadelabs.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Spline AI,"Revolutionize 3D design with AI: create, edit, collaborate effortlessly.",https://spline.design/ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Product Design Studio,Transform sketches to 3D designs and collaborate efficiently with AI.,https://www.pietrastudio.com/platform/design-studio/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Masterpiece X,"Revolutionize 3D modeling: AI-driven, VR-ready, unlimited creative potential.",https://www.masterpiecex.com/
Loci,"Revolutionizes 3D asset management with rapid, precise AI-driven tagging.",https://www.loci.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Hypothetic,Revolutionize 3D/2D asset management and collaboration with AI-powered cloud tools.,https://www.hypothetic.art/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Avaturn,Turn people into realistic lifelike 3D avatars,https://avaturn.me?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Skybox Lab,Skybox Lab: One-click 360° image generator from Blockade Labs,https://skybox.blockadelabs.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Recraft,"Generate vector art, 3D images and more",https://www.recraft.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Scenario,"AI-generated game assets for high-quality, style-consistent games.",https://www.scenario.gg/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
G3DAI {Jedi},Create 3D assets with AI using text prompts.,https://g3d.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
ChatCAD,AI-powered app enabling easy creation of 3D models through natural language communication.,https://www.chatcad.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Poly,"Generate high-res textures with AI in seconds,",https://withpoly.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Draw3D,Convert Your Sketch into a Photorealistic Image with Ease,https://draw3d.online/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
PrometheanAI,Promethean AI helps Artists create virtual worlds and solve creative problems.,https://www.prometheanai.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Masterpiece Studio ,"Create 3D with AI: Generate, Edit, Deploy - no complexity.",https://masterpiecestudio.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Imagine 3D,"Early 3D prototyping with text, expanding access as quality improves.",https://captures.lumalabs.ai/imagine?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Replicate Codex,"A free tool to search, filter, sort, and discover AI models",https://www.replicatecodex.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Plask,AI-powered motion capture animation tool for realistic animation.,https://plask.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
2D&3D Video Converter,iDATAPP 3D Converter: Transform Your Videos into Stunning 3D Masterpieces,https://idatapp.com/software/3d-converter?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Krikey.ai,Animated Avatars,https://www.krikey.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Homestyler AI,Exclusive interior design tool that brings users' unique design ideas to life., https://www.homestyler.com/?affiliateCode=lvhkqhiW
Polyhive,Mesh aware texture generation for 3D assets.,https://www.polyhive.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Neuralangelo by NVIDIA,"Neuralangelo, a new AI model by NVIDIA Research for 3D reconstruction using neural networks.",https://blogs.nvidia.com/blog/2023/06/01/neuralangelo-ai-research-3d-reconstruction/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Texture Lab,Generate 3D textures w/ AI in seconds; free database of ready-to-use textures.,https://www.texturelab.xyz/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Blender Copilot,Blender Copilot is an AI-powered add-on that simplifies the 3D workflow with natural language commands.,https://liberateyourmind.gumroad.com/l/blendercopilot?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
OpalAi,Floor plans & 3D visuals for real estate & construction.,https://www.opal-ai.com/scanto3d?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Real Life 3D,Use AI to Convert Videos and Still Images to 3D for VR,https://www.reallife3d.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Glyf,Intuitive interface enables 3D mobile design.,https://glyf.in/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
CodeBaby,AI-powered Avatars for Enhanced Customer Experience,https://codebaby.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Tafi Avatar,Text-to-3D Character Engine.,https://www.maketafi.com/ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Vossle AR,Vossle: Instant Web-based Augmented Reality for Your Business,https://vossle.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Omnia,Create 3D models based on text prompts or uploaded images.,https://www.theomnia.io/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Digital Dogs,Digital Dogs is a software solution that allows users to create and interact with virtual pets using advanced AI technologies.,https://digitaldogs.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Heroify,Generate high-quality 3D graphics for landing pages.,https://www.heroify.lol/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
OctoEverywhere,"OctoEverywhere is a 3D printing failure detection assistant that uses computer vision algorithms to detect printing errors such as spaghetti, layer shifts, adhesion issues, and more",https://octoeverywhere.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Blimeycreate,"Blimey is an AI image generator that empowers users to create high-quality images, illustrations, art, graphics, covers, and comics with ease",https://blimeycreate.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Unity,"Craft interactive, dynamic 3D content for AR, VR, mobile, desktop, and web platforms.",https://unity.com/ai?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
AssetsAI,AssetsAI is a unique AI-powered game asset library that provides users with original and unique game assets.,https://www.assetsai.art/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
Pool Planner AI,Visualize Your Dream Pool Design,https://poolplannerai.com/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
3DAiLY,Unleash AI-driven 3D model creation with artist refinement for game-ready characters and a collaborative marketplace.,https://3daily.ai/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
MagiScan,Capture and convert real-world objects into 3D models effortlessly.,https://magiscan.app/?utm_source=futurepedia&utm_medium=marketplace&utm_campaign=futurepedia
items,"Revolutionize digital design with AI-generated, versatile, and free-to-use creative assets.",https://items.design/
